power.draw [W], utilization.gpu [%]
55.40 W, 0 %
57.74 W, 4 %
59.21 W, 0 %
57.74 W, 0 %
59.81 W, 0 %
57.80 W, 0 %
57.47 W, 0 %
57.74 W, 0 %
57.74 W, 0 %
57.74 W, 0 %
57.74 W, 0 %
64.78 W, 7 %
64.78 W, 0 %
57.74 W, 2 %
210.99 W, 100 %
235.30 W, 100 %
276.01 W, 100 %
281.62 W, 100 %
225.32 W, 100 %
225.09 W, 100 %
200.80 W, 100 %
201.01 W, 100 %
200.80 W, 100 %
225.69 W, 100 %
269.31 W, 100 %
218.67 W, 100 %
192.23 W, 100 %
197.79 W, 100 %
211.04 W, 100 %
284.24 W, 100 %
194.05 W, 100 %
278.36 W, 100 %
261.09 W, 100 %
197.86 W, 100 %
274.27 W, 96 %
203.42 W, 100 %
73.82 W, 0 %
258.75 W, 90 %
245.57 W, 100 %
233.32 W, 99 %
118.96 W, 99 %
241.49 W, 100 %
266.97 W, 100 %
275.14 W, 100 %
213.65 W, 100 %
276.01 W, 100 %
215.12 W, 100 %
212.51 W, 100 %
234.18 W, 100 %
262.29 W, 100 %
214.85 W, 100 %
223.35 W, 99 %
204.23 W, 100 %
263.16 W, 100 %
268.99 W, 100 %
317.08 W, 100 %
261.09 W, 100 %
234.70 W, 100 %
275.76 W, 100 %
246.75 W, 100 %
203.95 W, 100 %
202.48 W, 100 %
103.80 W, 100 %
218.02 W, 100 %
261.96 W, 100 %
206.30 W, 100 %
232.36 W, 100 %
215.02 W, 100 %
217.37 W, 100 %
222.38 W, 100 %
194.17 W, 100 %
296.53 W, 100 %
338.72 W, 100 %
341.39 W, 100 %
221.13 W, 100 %
289.79 W, 100 %
235.82 W, 11 %
286.89 W, 100 %
109.59 W, 100 %
172.03 W, 100 %
322.98 W, 100 %
202.02 W, 100 %
251.03 W, 100 %
191.42 W, 100 %
270.42 W, 100 %
161.76 W, 100 %
195.25 W, 99 %
95.11 W, 100 %
332.88 W, 100 %
224.96 W, 100 %
77.20 W, 100 %
73.70 W, 0 %
246.68 W, 99 %
226.43 W, 100 %
279.57 W, 100 %
277.50 W, 100 %
201.01 W, 100 %
200.14 W, 100 %
267.52 W, 100 %
202.15 W, 100 %
266.97 W, 100 %
329.88 W, 100 %
304.71 W, 100 %
76.24 W, 100 %
75.09 W, 2 %
58.34 W, 0 %
59.60 W, 3 %
74.50 W, 100 %
74.50 W, 0 %
74.16 W, 0 %
