power.draw [W], utilization.gpu [%]
58.01 W, 0 %
58.07 W, 0 %
58.88 W, 0 %
63.84 W, 0 %
64.17 W, 0 %
64.72 W, 0 %
65.64 W, 0 %
58.07 W, 18 %
57.68 W, 1 %
57.68 W, 1 %
57.68 W, 0 %
59.15 W, 3 %
259.62 W, 100 %
215.73 W, 100 %
276.34 W, 100 %
225.05 W, 100 %
201.01 W, 100 %
201.28 W, 100 %
244.40 W, 100 %
250.84 W, 85 %
192.23 W, 100 %
189.56 W, 100 %
200.73 W, 100 %
264.57 W, 100 %
225.65 W, 100 %
202.09 W, 100 %
268.12 W, 99 %
226.52 W, 100 %
75.36 W, 99 %
221.23 W, 99 %
244.07 W, 100 %
220.90 W, 100 %
387.55 W, 100 %
214.42 W, 100 %
211.26 W, 100 %
270.74 W, 100 %
289.49 W, 100 %
215.57 W, 100 %
189.21 W, 99 %
207.06 W, 100 %
224.08 W, 100 %
215.95 W, 100 %
217.92 W, 100 %
274.56 W, 100 %
212.95 W, 100 %
215.89 W, 100 %
218.29 W, 100 %
269.59 W, 100 %
393.70 W, 100 %
222.11 W, 100 %
264.03 W, 100 %
284.24 W, 100 %
283.96 W, 100 %
232.96 W, 100 %
291.86 W, 100 %
284.51 W, 100 %
249.98 W, 100 %
275.15 W, 75 %
283.33 W, 100 %
260.82 W, 100 %
280.15 W, 100 %
264.30 W, 100 %
76.24 W, 0 %
267.85 W, 100 %
278.68 W, 100 %
283.96 W, 100 %
277.21 W, 100 %
75.89 W, 28 %
289.20 W, 100 %
205.97 W, 100 %
268.44 W, 100 %
128.60 W, 100 %
275.14 W, 5 %
289.20 W, 100 %
116.89 W, 100 %
301.22 W, 100 %
186.15 W, 100 %
74.69 W, 0 %
58.88 W, 0 %
269.31 W, 100 %
269.58 W, 100 %
284.24 W, 100 %
206.84 W, 100 %
298.01 W, 100 %
206.30 W, 100 %
205.70 W, 100 %
306.79 W, 100 %
270.74 W, 100 %
80.93 W, 100 %
294.75 W, 100 %
77.12 W, 100 %
75.97 W, 4 %
74.16 W, 0 %
61.56 W, 37 %
73.97 W, 0 %
