power.draw [W], utilization.gpu [%]
54.46 W, 0 %
63.57 W, 8 %
58.01 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
63.84 W, 0 %
58.01 W, 0 %
63.84 W, 0 %
58.01 W, 0 %
57.68 W, 0 %
58.01 W, 4 %
63.84 W, 0 %
159.95 W, 5 %
286.58 W, 100 %
271.05 W, 100 %
276.01 W, 98 %
197.86 W, 100 %
73.22 W, 98 %
243.23 W, 99 %
237.40 W, 100 %
213.38 W, 100 %
218.94 W, 97 %
192.03 W, 100 %
244.15 W, 98 %
190.56 W, 100 %
218.34 W, 99 %
229.50 W, 99 %
296.54 W, 100 %
235.33 W, 100 %
213.65 W, 100 %
237.67 W, 100 %
275.74 W, 100 %
244.70 W, 100 %
238.00 W, 100 %
201.67 W, 100 %
144.15 W, 100 %
267.24 W, 100 %
235.65 W, 100 %
267.57 W, 100 %
243.82 W, 100 %
206.95 W, 100 %
215.45 W, 100 %
218.34 W, 100 %
149.16 W, 100 %
283.64 W, 100 %
76.16 W, 100 %
188.82 W, 100 %
228.63 W, 0 %
242.60 W, 100 %
242.08 W, 100 %
257.01 W, 100 %
278.68 W, 100 %
217.79 W, 100 %
220.14 W, 100 %
74.09 W, 0 %
283.04 W, 51 %
283.96 W, 100 %
202.48 W, 100 %
243.23 W, 100 %
272.52 W, 100 %
318.17 W, 70 %
75.29 W, 0 %
74.16 W, 0 %
59.75 W, 4 %
73.54 W, 0 %
77.36 W, 0 %
73.22 W, 0 %
73.22 W, 0 %
