pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 52.50, 0, 2
00000000:15:00.0, 51.52, 0, 2
00000000:51:00.0, 52.83, 0, 2
00000000:54:00.0, 54.36, 0, 0
00000000:0F:00.0, 57.74, 0, 413
00000000:15:00.0, 61.69, 0, 14
00000000:51:00.0, 52.17, 0, 2
00000000:54:00.0, 55.51, 0, 2
00000000:0F:00.0, 58.07, 7, 595
00000000:15:00.0, 57.08, 0, 413
00000000:51:00.0, 57.47, 0, 413
00000000:54:00.0, 59.94, 0, 413
00000000:0F:00.0, 58.94, 0, 603
00000000:15:00.0, 57.08, 1, 539
00000000:51:00.0, 63.97, 0, 413
00000000:54:00.0, 59.94, 0, 413
00000000:0F:00.0, 58.07, 0, 603
00000000:15:00.0, 57.29, 0, 603
00000000:51:00.0, 58.07, 0, 603
00000000:54:00.0, 60.21, 3, 603
00000000:0F:00.0, 58.94, 0, 605
00000000:15:00.0, 57.62, 0, 603
00000000:51:00.0, 64.50, 0, 603
00000000:54:00.0, 59.94, 0, 603
00000000:0F:00.0, 65.71, 0, 637
00000000:15:00.0, 57.29, 0, 613
00000000:51:00.0, 57.53, 0, 613
00000000:54:00.0, 65.24, 0, 613
00000000:0F:00.0, 64.44, 0, 637
00000000:15:00.0, 57.02, 0, 613
00000000:51:00.0, 57.47, 0, 613
00000000:54:00.0, 59.94, 0, 613
00000000:0F:00.0, 62.69, 0, 637
00000000:15:00.0, 57.02, 0, 613
00000000:51:00.0, 61.56, 0, 613
00000000:54:00.0, 59.94, 0, 613
00000000:0F:00.0, 57.68, 0, 637
00000000:15:00.0, 62.84, 0, 621
00000000:51:00.0, 64.50, 0, 621
00000000:54:00.0, 59.94, 0, 621
00000000:0F:00.0, 59.21, 0, 637
00000000:15:00.0, 58.16, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 66.39, 0, 621
00000000:0F:00.0, 57.68, 0, 637
00000000:15:00.0, 63.16, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 67.59, 0, 621
00000000:0F:00.0, 57.68, 0, 637
00000000:15:00.0, 59.63, 0, 621
00000000:51:00.0, 57.53, 0, 621
00000000:54:00.0, 66.32, 0, 621
00000000:0F:00.0, 57.68, 0, 637
00000000:15:00.0, 60.22, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 65.84, 0, 621
00000000:0F:00.0, 58.01, 0, 637
00000000:15:00.0, 57.89, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 66.39, 0, 621
00000000:0F:00.0, 58.01, 0, 637
00000000:15:00.0, 58.49, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 66.39, 0, 621
00000000:0F:00.0, 57.68, 0, 637
00000000:15:00.0, 58.76, 0, 621
00000000:51:00.0, 57.74, 0, 621
00000000:54:00.0, 67.59, 0, 621
00000000:0F:00.0, 57.68, 0, 637
00000000:15:00.0, 58.69, 0, 621
00000000:51:00.0, 57.41, 0, 621
00000000:54:00.0, 66.39, 0, 621
00000000:0F:00.0, 59.15, 0, 637
00000000:15:00.0, 57.02, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 66.32, 0, 621
00000000:0F:00.0, 58.01, 0, 637
00000000:15:00.0, 57.56, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 66.39, 0, 621
00000000:0F:00.0, 58.67, 0, 637
00000000:15:00.0, 57.29, 0, 621
00000000:51:00.0, 57.47, 0, 621
00000000:54:00.0, 66.72, 0, 621
00000000:0F:00.0, 58.07, 0, 4733
00000000:15:00.0, 57.08, 0, 8813
00000000:51:00.0, 57.47, 0, 8825
00000000:54:00.0, 59.94, 2, 8879
00000000:0F:00.0, 65.64, 0, 4795
00000000:15:00.0, 57.02, 0, 8855
00000000:51:00.0, 57.47, 0, 8875
00000000:54:00.0, 59.94, 0, 9123
00000000:0F:00.0, 57.68, 0, 4795
00000000:15:00.0, 63.71, 0, 8875
00000000:51:00.0, 61.56, 0, 9117
00000000:54:00.0, 64.04, 0, 9459
00000000:0F:00.0, 64.72, 0, 4917
00000000:15:00.0, 57.02, 0, 8875
00000000:51:00.0, 57.47, 0, 9341
00000000:54:00.0, 67.59, 0, 9633
00000000:0F:00.0, 60.95, 1, 5155
00000000:15:00.0, 57.02, 0, 8931
00000000:51:00.0, 65.11, 0, 9633
00000000:54:00.0, 76.05, 0, 9633
00000000:0F:00.0, 57.68, 0, 9603
00000000:15:00.0, 63.16, 0, 9235
00000000:51:00.0, 72.75, 0, 9633
00000000:54:00.0, 74.65, 0, 9633
00000000:0F:00.0, 60.35, 0, 9649
00000000:15:00.0, 57.29, 0, 9463
00000000:51:00.0, 72.42, 0, 9633
