pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:54:00.0, 75.25, 0, 9633
00000000:0F:00.0, 72.34, 27, 9649
00000000:15:00.0, 73.39, 81, 9633
00000000:51:00.0, 190.76, 57, 9633
00000000:54:00.0, 73.18, 40, 9661
00000000:0F:00.0, 73.82, 41, 9649
00000000:15:00.0, 73.07, 0, 9633
00000000:51:00.0, 73.02, 0, 9633
00000000:54:00.0, 59.67, 0, 17853
00000000:0F:00.0, 73.54, 100, 9649
00000000:15:00.0, 72.19, 0, 9633
00000000:51:00.0, 73.02, 0, 17853
00000000:54:00.0, 59.67, 0, 17853
00000000:0F:00.0, 73.22, 100, 9677
00000000:15:00.0, 198.52, 43, 9633
00000000:51:00.0, 68.33, 0, 17853
00000000:54:00.0, 75.25, 0, 17853
00000000:0F:00.0, 61.02, 0, 9677
00000000:15:00.0, 72.60, 0, 9661
00000000:51:00.0, 72.82, 0, 17853
00000000:54:00.0, 75.00, 0, 17853
00000000:0F:00.0, 72.34, 27, 17869
00000000:15:00.0, 64.97, 0, 17853
00000000:51:00.0, 73.10, 0, 17853
00000000:54:00.0, 75.00, 3, 17853
00000000:0F:00.0, 73.29, 69, 17869
00000000:15:00.0, 192.71, 16, 17853
00000000:51:00.0, 73.70, 0, 17853
00000000:54:00.0, 75.52, 48, 17853
00000000:0F:00.0, 73.02, 43, 17869
00000000:15:00.0, 72.87, 61, 17853
00000000:51:00.0, 123.03, 44, 17853
00000000:54:00.0, 179.59, 22, 17853
00000000:0F:00.0, 161.05, 84, 17869
00000000:15:00.0, 72.60, 35, 17853
00000000:51:00.0, 73.10, 25, 17853
00000000:54:00.0, 69.42, 72, 17853
00000000:0F:00.0, 203.84, 42, 17869
00000000:15:00.0, 72.95, 23, 17853
00000000:51:00.0, 211.75, 15, 17853
00000000:54:00.0, 208.08, 39, 17853
00000000:0F:00.0, 197.99, 29, 17869
00000000:15:00.0, 191.16, 26, 17853
00000000:51:00.0, 137.72, 63, 17853
00000000:54:00.0, 75.60, 0, 17853
00000000:0F:00.0, 211.48, 51, 17921
00000000:15:00.0, 72.34, 42, 17905
00000000:51:00.0, 196.13, 46, 17905
00000000:54:00.0, 189.60, 60, 17905
00000000:0F:00.0, 214.70, 12, 17921
00000000:15:00.0, 232.47, 58, 17905
00000000:51:00.0, 216.40, 99, 17905
00000000:54:00.0, 224.27, 100, 17905
00000000:0F:00.0, 74.65, 100, 17921
00000000:15:00.0, 72.34, 0, 17905
00000000:51:00.0, 72.64, 0, 17905
00000000:54:00.0, 76.28, 0, 17905
00000000:0F:00.0, 59.00, 0, 18059
00000000:15:00.0, 74.09, 0, 18043
00000000:51:00.0, 74.32, 0, 18049
00000000:54:00.0, 76.48, 0, 18049
00000000:0F:00.0, 210.00, 98, 18417
00000000:15:00.0, 215.45, 96, 18545
00000000:51:00.0, 197.87, 99, 18545
00000000:54:00.0, 214.21, 99, 18401
00000000:0F:00.0, 244.07, 99, 18417
00000000:15:00.0, 191.71, 100, 18545
00000000:51:00.0, 208.26, 99, 18545
00000000:54:00.0, 167.68, 99, 18401
00000000:0F:00.0, 251.97, 100, 18417
00000000:15:00.0, 211.91, 100, 18545
00000000:51:00.0, 226.66, 100, 18545
00000000:54:00.0, 229.57, 100, 18401
00000000:0F:00.0, 319.70, 100, 18417
00000000:15:00.0, 219.58, 100, 18545
00000000:51:00.0, 212.95, 100, 18545
00000000:54:00.0, 222.52, 100, 18401
00000000:0F:00.0, 73.77, 0, 18417
00000000:15:00.0, 72.34, 0, 18545
00000000:51:00.0, 72.30, 0, 18545
00000000:54:00.0, 60.94, 0, 18401
00000000:0F:00.0, 74.04, 42, 18417
00000000:15:00.0, 72.34, 0, 18545
00000000:51:00.0, 72.37, 0, 18545
00000000:54:00.0, 76.28, 0, 18401
00000000:0F:00.0, 74.04, 99, 18417
00000000:15:00.0, 72.34, 0, 18545
00000000:51:00.0, 72.30, 0, 18545
00000000:54:00.0, 76.28, 0, 18401
00000000:0F:00.0, 74.32, 99, 18417
00000000:15:00.0, 72.07, 0, 18545
00000000:51:00.0, 72.30, 0, 18545
00000000:54:00.0, 76.28, 0, 18401
00000000:0F:00.0, 256.06, 100, 18417
00000000:15:00.0, 178.85, 99, 18545
00000000:51:00.0, 164.61, 99, 18545
00000000:54:00.0, 203.92, 99, 18401
00000000:0F:00.0, 73.77, 0, 18417
00000000:15:00.0, 72.67, 0, 18545
00000000:51:00.0, 72.57, 0, 18545
00000000:54:00.0, 76.56, 0, 18401
00000000:0F:00.0, 184.38, 99, 18417
00000000:15:00.0, 72.67, 0, 18545
00000000:51:00.0, 72.57, 0, 18545
00000000:54:00.0, 76.56, 0, 18401
00000000:0F:00.0, 59.06, 0, 18417
00000000:15:00.0, 71.75, 0, 18545
00000000:51:00.0, 71.97, 0, 18545
00000000:54:00.0, 61.27, 0, 18401
00000000:0F:00.0, 58.40, 0, 18417
00000000:15:00.0, 62.97, 0, 18545
00000000:51:00.0, 61.14, 0, 18545
00000000:54:00.0, 67.73, 0, 18401
00000000:0F:00.0, 273.95, 99, 18417
00000000:15:00.0, 197.38, 100, 18545
00000000:51:00.0, 193.90, 100, 18545
00000000:54:00.0, 202.78, 100, 18401
00000000:0F:00.0, 205.03, 100, 18417
00000000:15:00.0, 273.10, 14, 18545
00000000:51:00.0, 303.02, 21, 18545
00000000:54:00.0, 163.73, 30, 18401
00000000:0F:00.0, 136.11, 60, 18417
00000000:15:00.0, 72.34, 0, 18545
00000000:51:00.0, 72.30, 0, 18545
00000000:54:00.0, 76.28, 0, 18401
00000000:0F:00.0, 58.73, 0, 18417
00000000:15:00.0, 72.00, 0, 18545
00000000:51:00.0, 71.97, 0, 18545
00000000:54:00.0, 60.60, 0, 18401
00000000:0F:00.0, 58.73, 0, 18345
00000000:15:00.0, 57.35, 0, 18085
00000000:51:00.0, 58.40, 0, 18085
00000000:54:00.0, 61.21, 3, 18047
00000000:0F:00.0, 62.23, 0, 18321
00000000:15:00.0, 57.13, 0, 18085
00000000:51:00.0, 57.86, 0, 18085
00000000:54:00.0, 67.66, 0, 17941
00000000:0F:00.0, 58.40, 0, 17847
00000000:15:00.0, 63.84, 0, 17975
00000000:51:00.0, 65.51, 0, 17911
00000000:54:00.0, 60.27, 0, 17837
00000000:0F:00.0, 58.40, 0, 17547
00000000:15:00.0, 57.41, 0, 17675
00000000:51:00.0, 58.19, 0, 17675
00000000:54:00.0, 60.60, 1, 17677
00000000:0F:00.0, 58.13, 0, 17547
00000000:15:00.0, 63.78, 0, 17675
00000000:51:00.0, 64.37, 0, 17675
00000000:54:00.0, 60.27, 0, 17631
00000000:0F:00.0, 58.40, 0, 17547
00000000:15:00.0, 57.68, 0, 17673
00000000:51:00.0, 57.86, 0, 17675
00000000:54:00.0, 60.27, 0, 17537
00000000:0F:00.0, 72.82, 61, 2
00000000:15:00.0, 71.40, 0, 0
00000000:51:00.0, 71.35, 0, 0
00000000:54:00.0, 75.33, 0, 0
00000000:0F:00.0, 55.40, 0, 2
00000000:15:00.0, 55.88, 0, 0
00000000:51:00.0, 54.58, 0, 0
00000000:54:00.0, 58.85, 0, 0
