pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 56.26, 0, 2
00000000:15:00.0, 53.21, 0, 0
00000000:51:00.0, 53.64, 0, 0
00000000:54:00.0, 54.36, 0, 0
00000000:8D:00.0, 53.05, 0, 0
00000000:92:00.0, 56.38, 0, 0
00000000:D6:00.0, 54.63, 0, 0
00000000:DA:00.0, 54.46, 0, 0
00000000:0F:00.0, 51.90, 0, 2
00000000:15:00.0, 51.74, 0, 2
00000000:51:00.0, 52.50, 0, 2
00000000:54:00.0, 54.36, 0, 2
00000000:8D:00.0, 53.37, 0, 2
00000000:92:00.0, 54.25, 0, 0
00000000:D6:00.0, 54.58, 0, 0
00000000:DA:00.0, 54.19, 0, 0
00000000:0F:00.0, 52.12, 0, 2
00000000:15:00.0, 51.52, 0, 2
00000000:51:00.0, 52.17, 0, 2
00000000:54:00.0, 54.36, 0, 2
00000000:8D:00.0, 52.78, 0, 2
00000000:92:00.0, 54.30, 0, 2
00000000:D6:00.0, 52.28, 0, 2
00000000:DA:00.0, 54.19, 0, 0
00000000:0F:00.0, 57.68, 2, 413
00000000:15:00.0, 57.89, 0, 14
00000000:51:00.0, 52.17, 0, 2
00000000:54:00.0, 54.63, 0, 2
00000000:8D:00.0, 52.78, 0, 2
00000000:92:00.0, 54.25, 0, 2
00000000:D6:00.0, 51.95, 0, 2
00000000:DA:00.0, 54.19, 0, 2
00000000:0F:00.0, 63.29, 0, 413
00000000:15:00.0, 63.44, 0, 413
00000000:51:00.0, 57.47, 0, 413
00000000:54:00.0, 59.88, 0, 413
00000000:8D:00.0, 64.50, 0, 413
00000000:92:00.0, 59.81, 0, 16
00000000:D6:00.0, 51.95, 0, 2
00000000:DA:00.0, 54.79, 0, 2
00000000:0F:00.0, 58.61, 6, 587
00000000:15:00.0, 57.02, 0, 413
00000000:51:00.0, 57.47, 0, 413
00000000:54:00.0, 59.94, 0, 413
00000000:8D:00.0, 64.78, 0, 413
00000000:92:00.0, 59.81, 0, 413
00000000:D6:00.0, 57.80, 0, 413
00000000:DA:00.0, 59.75, 0, 413
00000000:0F:00.0, 57.68, 0, 603
00000000:15:00.0, 57.89, 0, 441
00000000:51:00.0, 57.47, 0, 413
00000000:54:00.0, 66.11, 0, 413
00000000:8D:00.0, 63.03, 0, 413
00000000:92:00.0, 59.81, 0, 413
00000000:D6:00.0, 63.10, 0, 413
00000000:DA:00.0, 61.82, 0, 413
00000000:0F:00.0, 58.61, 0, 603
00000000:15:00.0, 63.44, 0, 603
00000000:51:00.0, 57.47, 0, 603
00000000:54:00.0, 62.56, 0, 487
00000000:8D:00.0, 68.33, 0, 413
00000000:92:00.0, 59.88, 0, 413
00000000:D6:00.0, 57.58, 0, 413
00000000:DA:00.0, 61.82, 0, 413
00000000:0F:00.0, 62.10, 0, 603
00000000:15:00.0, 64.31, 0, 603
00000000:51:00.0, 57.47, 0, 603
00000000:54:00.0, 60.21, 0, 603
00000000:8D:00.0, 69.47, 0, 603
00000000:92:00.0, 59.81, 1, 563
00000000:D6:00.0, 57.58, 0, 413
00000000:DA:00.0, 61.82, 0, 413
00000000:0F:00.0, 60.35, 0, 603
00000000:15:00.0, 63.71, 0, 603
00000000:51:00.0, 57.47, 0, 603
00000000:54:00.0, 62.50, 0, 603
00000000:8D:00.0, 68.53, 0, 603
00000000:92:00.0, 59.81, 0, 603
00000000:D6:00.0, 57.53, 0, 603
00000000:DA:00.0, 62.10, 0, 603
00000000:0F:00.0, 65.31, 0, 639
00000000:15:00.0, 63.71, 0, 615
00000000:51:00.0, 63.91, 0, 615
00000000:54:00.0, 59.88, 0, 615
00000000:8D:00.0, 66.85, 0, 615
00000000:92:00.0, 66.85, 0, 615
00000000:D6:00.0, 57.53, 0, 615
00000000:DA:00.0, 61.82, 0, 615
00000000:0F:00.0, 58.28, 0, 639
00000000:15:00.0, 59.63, 0, 615
00000000:51:00.0, 64.23, 0, 615
00000000:54:00.0, 59.94, 0, 615
00000000:8D:00.0, 67.12, 0, 615
00000000:92:00.0, 67.12, 0, 615
00000000:D6:00.0, 58.73, 0, 615
00000000:DA:00.0, 60.02, 0, 615
00000000:0F:00.0, 64.72, 0, 639
00000000:15:00.0, 63.16, 0, 615
00000000:51:00.0, 57.47, 0, 615
00000000:54:00.0, 59.94, 0, 615
00000000:8D:00.0, 64.78, 0, 615
00000000:92:00.0, 59.81, 0, 615
00000000:D6:00.0, 57.53, 0, 615
00000000:DA:00.0, 62.69, 0, 615
00000000:0F:00.0, 57.68, 0, 639
00000000:15:00.0, 57.02, 0, 615
00000000:51:00.0, 57.47, 0, 615
00000000:54:00.0, 66.39, 0, 615
00000000:8D:00.0, 59.54, 0, 615
00000000:92:00.0, 59.81, 0, 615
00000000:D6:00.0, 63.10, 0, 615
00000000:DA:00.0, 61.82, 0, 615
00000000:0F:00.0, 57.68, 0, 639
00000000:15:00.0, 57.02, 0, 615
00000000:51:00.0, 60.41, 0, 615
00000000:54:00.0, 66.11, 0, 615
00000000:8D:00.0, 58.34, 0, 615
00000000:92:00.0, 61.56, 0, 615
00000000:D6:00.0, 63.77, 0, 615
00000000:DA:00.0, 62.37, 0, 615
00000000:0F:00.0, 63.64, 0, 639
00000000:15:00.0, 57.89, 0, 615
00000000:51:00.0, 64.50, 0, 615
00000000:54:00.0, 59.94, 0, 615
00000000:8D:00.0, 59.21, 0, 615
00000000:92:00.0, 66.92, 0, 615
00000000:D6:00.0, 57.86, 0, 615
00000000:DA:00.0, 66.78, 0, 615
00000000:0F:00.0, 64.44, 0, 639
00000000:15:00.0, 63.44, 0, 623
00000000:51:00.0, 57.47, 0, 615
00000000:54:00.0, 59.94, 0, 615
00000000:8D:00.0, 65.11, 0, 615
00000000:92:00.0, 59.88, 0, 615
00000000:D6:00.0, 57.80, 0, 615
00000000:DA:00.0, 61.82, 0, 615
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 65.50, 0, 623
00000000:51:00.0, 57.47, 0, 623
00000000:54:00.0, 64.37, 0, 623
00000000:8D:00.0, 66.26, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 62.69, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 57.47, 0, 623
00000000:54:00.0, 66.39, 0, 623
00000000:8D:00.0, 58.73, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 63.10, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 63.91, 0, 623
00000000:54:00.0, 59.94, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 66.85, 0, 623
00000000:D6:00.0, 62.50, 0, 623
00000000:DA:00.0, 62.10, 0, 623
00000000:0F:00.0, 63.57, 0, 639
00000000:15:00.0, 62.24, 0, 623
00000000:51:00.0, 65.98, 0, 623
00000000:54:00.0, 59.94, 0, 623
00000000:8D:00.0, 64.23, 0, 623
00000000:92:00.0, 68.06, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 64.72, 0, 623
00000000:0F:00.0, 69.40, 0, 639
00000000:15:00.0, 62.84, 0, 623
00000000:51:00.0, 57.47, 0, 623
00000000:54:00.0, 59.88, 0, 623
00000000:8D:00.0, 65.38, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 57.68, 0, 639
00000000:15:00.0, 61.37, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 65.84, 0, 623
00000000:8D:00.0, 62.76, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 64.17, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 66.72, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 59.54, 0, 623
00000000:D6:00.0, 62.83, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 58.88, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 64.50, 0, 623
00000000:54:00.0, 59.67, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 65.71, 0, 623
00000000:D6:00.0, 60.15, 0, 623
00000000:DA:00.0, 60.95, 0, 623
00000000:0F:00.0, 64.44, 0, 639
00000000:15:00.0, 62.24, 0, 623
00000000:51:00.0, 69.47, 0, 623
00000000:54:00.0, 59.60, 0, 623
00000000:8D:00.0, 64.78, 0, 623
00000000:92:00.0, 70.07, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 60.35, 0, 639
00000000:15:00.0, 62.84, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 64.04, 0, 623
00000000:8D:00.0, 66.26, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 64.17, 0, 623
00000000:0F:00.0, 57.47, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 66.72, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 61.29, 0, 623
00000000:D6:00.0, 63.70, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 58.88, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 63.64, 0, 623
00000000:54:00.0, 59.67, 0, 623
00000000:8D:00.0, 58.67, 0, 623
00000000:92:00.0, 66.85, 0, 623
00000000:D6:00.0, 60.82, 0, 623
00000000:DA:00.0, 60.95, 0, 623
00000000:0F:00.0, 65.04, 0, 639
00000000:15:00.0, 63.44, 0, 623
00000000:51:00.0, 64.78, 0, 623
00000000:54:00.0, 59.60, 0, 623
00000000:8D:00.0, 64.50, 0, 623
00000000:92:00.0, 66.26, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 58.01, 0, 639
00000000:15:00.0, 64.91, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 66.72, 0, 623
00000000:8D:00.0, 68.33, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 65.31, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 57.74, 0, 623
00000000:54:00.0, 66.11, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 60.15, 0, 623
00000000:D6:00.0, 62.50, 0, 623
00000000:DA:00.0, 62.37, 0, 623
00000000:0F:00.0, 62.10, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 65.71, 0, 623
00000000:54:00.0, 59.88, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 67.73, 0, 623
00000000:D6:00.0, 61.35, 0, 623
00000000:DA:00.0, 61.16, 0, 623
00000000:0F:00.0, 68.26, 0, 639
00000000:15:00.0, 62.84, 0, 623
00000000:51:00.0, 69.80, 0, 623
00000000:54:00.0, 59.67, 0, 623
00000000:8D:00.0, 62.44, 0, 623
00000000:92:00.0, 71.27, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 58.88, 0, 639
00000000:15:00.0, 64.91, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 59.67, 0, 623
00000000:8D:00.0, 65.11, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 57.58, 0, 623
00000000:DA:00.0, 63.84, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 57.47, 0, 623
00000000:54:00.0, 66.11, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 59.88, 0, 623
00000000:D6:00.0, 62.89, 0, 623
00000000:DA:00.0, 62.10, 0, 623
