pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 64.23, 0, 623
00000000:54:00.0, 66.11, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 64.23, 0, 623
00000000:D6:00.0, 64.85, 0, 623
00000000:DA:00.0, 62.10, 0, 623
00000000:0F:00.0, 63.57, 0, 639
00000000:15:00.0, 58.16, 0, 623
00000000:51:00.0, 69.80, 0, 623
00000000:54:00.0, 59.67, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 71.35, 0, 623
00000000:D6:00.0, 57.86, 0, 623
00000000:DA:00.0, 65.04, 0, 623
00000000:0F:00.0, 65.64, 0, 639
00000000:15:00.0, 64.31, 0, 623
00000000:51:00.0, 61.29, 0, 623
00000000:54:00.0, 59.67, 0, 623
00000000:8D:00.0, 64.78, 0, 623
00000000:92:00.0, 62.76, 0, 623
00000000:D6:00.0, 57.53, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 57.68, 0, 639
00000000:15:00.0, 58.16, 0, 623
00000000:51:00.0, 57.47, 0, 623
00000000:54:00.0, 66.72, 0, 623
00000000:8D:00.0, 61.56, 0, 623
00000000:92:00.0, 59.88, 0, 623
00000000:D6:00.0, 58.73, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 57.19, 0, 623
00000000:54:00.0, 68.47, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 59.81, 0, 623
00000000:D6:00.0, 63.10, 0, 623
00000000:DA:00.0, 61.82, 0, 623
00000000:0F:00.0, 57.41, 0, 639
00000000:15:00.0, 57.02, 0, 623
00000000:51:00.0, 63.91, 0, 623
00000000:54:00.0, 63.16, 0, 623
00000000:8D:00.0, 58.34, 0, 623
00000000:92:00.0, 66.26, 0, 623
00000000:D6:00.0, 62.89, 0, 623
00000000:DA:00.0, 61.49, 0, 623
00000000:0F:00.0, 57.74, 2, 4831
00000000:15:00.0, 60.83, 1, 4723
00000000:51:00.0, 64.23, 5, 8815
00000000:54:00.0, 63.49, 1, 8815
00000000:8D:00.0, 58.67, 6, 4771
00000000:92:00.0, 66.65, 1, 8815
00000000:D6:00.0, 65.84, 1, 8877
00000000:DA:00.0, 60.02, 1, 8845
00000000:0F:00.0, 64.50, 0, 4849
00000000:15:00.0, 62.84, 0, 4771
00000000:51:00.0, 57.19, 0, 8815
00000000:54:00.0, 59.67, 0, 8815
00000000:8D:00.0, 64.85, 0, 4771
00000000:92:00.0, 59.88, 0, 8815
00000000:D6:00.0, 57.86, 0, 8877
00000000:DA:00.0, 62.97, 0, 8859
00000000:0F:00.0, 64.44, 0, 5089
00000000:15:00.0, 63.44, 0, 4771
00000000:51:00.0, 61.88, 0, 8877
00000000:54:00.0, 59.94, 0, 8877
00000000:8D:00.0, 66.85, 0, 4771
00000000:92:00.0, 66.58, 0, 8877
00000000:D6:00.0, 57.86, 0, 8993
00000000:DA:00.0, 61.82, 0, 8877
00000000:0F:00.0, 57.41, 2, 9457
00000000:15:00.0, 56.96, 0, 4771
00000000:51:00.0, 64.23, 0, 8877
00000000:54:00.0, 59.94, 0, 8877
00000000:8D:00.0, 58.67, 0, 4851
00000000:92:00.0, 68.06, 0, 8877
00000000:D6:00.0, 62.23, 0, 9243
00000000:DA:00.0, 60.02, 0, 8877
00000000:0F:00.0, 57.68, 0, 9649
00000000:15:00.0, 57.02, 0, 4771
00000000:51:00.0, 64.78, 0, 8877
00000000:54:00.0, 59.67, 0, 8877
00000000:8D:00.0, 58.34, 0, 5037
00000000:92:00.0, 66.26, 0, 8877
00000000:D6:00.0, 63.10, 0, 9329
00000000:DA:00.0, 60.41, 0, 8877
00000000:0F:00.0, 71.82, 0, 9649
00000000:15:00.0, 57.02, 0, 4923
00000000:51:00.0, 61.88, 0, 8877
00000000:54:00.0, 66.72, 0, 8877
00000000:8D:00.0, 58.67, 0, 9253
00000000:92:00.0, 61.88, 0, 8877
00000000:D6:00.0, 64.04, 0, 9633
00000000:DA:00.0, 61.82, 0, 8877
00000000:0F:00.0, 73.54, 0, 9649
00000000:15:00.0, 57.02, 0, 5111
00000000:51:00.0, 57.74, 0, 8877
00000000:54:00.0, 66.72, 0, 8877
00000000:8D:00.0, 58.73, 0, 9633
00000000:92:00.0, 60.15, 0, 8877
00000000:D6:00.0, 71.09, 0, 9633
00000000:DA:00.0, 61.82, 0, 8949
00000000:0F:00.0, 72.07, 13, 9677
00000000:15:00.0, 57.02, 0, 9247
00000000:51:00.0, 57.47, 0, 8877
00000000:54:00.0, 66.72, 0, 8877
00000000:8D:00.0, 59.81, 0, 9633
00000000:92:00.0, 59.81, 0, 9075
00000000:D6:00.0, 71.02, 0, 9633
00000000:DA:00.0, 62.10, 0, 9235
00000000:0F:00.0, 57.68, 0, 9677
00000000:15:00.0, 60.50, 0, 9613
00000000:51:00.0, 57.47, 0, 8985
00000000:54:00.0, 66.99, 0, 8877
00000000:8D:00.0, 73.62, 0, 9633
00000000:92:00.0, 59.81, 0, 9235
00000000:D6:00.0, 71.35, 0, 9633
00000000:DA:00.0, 62.10, 0, 9243
00000000:0F:00.0, 57.68, 0, 9677
00000000:15:00.0, 63.44, 0, 9633
00000000:51:00.0, 57.47, 0, 9177
00000000:54:00.0, 66.99, 0, 8893
00000000:8D:00.0, 65.38, 0, 9633
00000000:92:00.0, 59.88, 0, 9243
00000000:D6:00.0, 71.42, 0, 9633
00000000:DA:00.0, 62.37, 0, 9551
00000000:0F:00.0, 57.68, 0, 9677
00000000:15:00.0, 72.19, 0, 9633
00000000:51:00.0, 57.47, 0, 9235
00000000:54:00.0, 66.99, 0, 9039
00000000:8D:00.0, 60.41, 0, 9633
00000000:92:00.0, 59.88, 0, 9435
00000000:D6:00.0, 70.82, 0, 9633
00000000:DA:00.0, 62.10, 0, 9633
00000000:0F:00.0, 57.41, 0, 9677
00000000:15:00.0, 57.02, 0, 9633
00000000:51:00.0, 57.41, 0, 9283
00000000:54:00.0, 66.99, 0, 9235
00000000:8D:00.0, 73.62, 0, 9633
00000000:92:00.0, 59.81, 0, 9633
00000000:D6:00.0, 71.02, 0, 9633
00000000:DA:00.0, 61.22, 0, 9633
00000000:0F:00.0, 57.68, 0, 9677
00000000:15:00.0, 57.02, 0, 9633
00000000:51:00.0, 57.47, 0, 9633
00000000:54:00.0, 66.99, 0, 9279
00000000:8D:00.0, 73.62, 0, 9633
00000000:92:00.0, 65.38, 0, 9633
00000000:D6:00.0, 71.02, 0, 9633
00000000:DA:00.0, 60.35, 0, 9633
00000000:0F:00.0, 90.40, 3, 9677
00000000:15:00.0, 56.96, 17, 9633
00000000:51:00.0, 74.16, 87, 9633
00000000:54:00.0, 60.82, 8, 9633
00000000:8D:00.0, 196.92, 100, 9633
00000000:92:00.0, 75.09, 11, 9633
00000000:D6:00.0, 57.53, 0, 9661
00000000:DA:00.0, 81.37, 27, 9633
00000000:0F:00.0, 74.42, 55, 17869
00000000:15:00.0, 160.65, 11, 9633
00000000:51:00.0, 72.34, 0, 9633
00000000:54:00.0, 76.59, 3, 9633
00000000:8D:00.0, 73.02, 0, 9661
00000000:92:00.0, 90.92, 13, 9633
00000000:D6:00.0, 62.23, 0, 17853
00000000:DA:00.0, 79.90, 12, 9633
00000000:0F:00.0, 73.22, 38, 17869
00000000:15:00.0, 73.07, 84, 9633
00000000:51:00.0, 76.43, 60, 9633
00000000:54:00.0, 96.76, 10, 9633
00000000:8D:00.0, 58.94, 0, 9661
00000000:92:00.0, 75.36, 50, 9633
00000000:D6:00.0, 71.02, 0, 17853
00000000:DA:00.0, 221.88, 30, 9633
00000000:0F:00.0, 94.92, 0, 17869
00000000:15:00.0, 72.52, 12, 9661
00000000:51:00.0, 71.27, 23, 9633
00000000:54:00.0, 76.05, 0, 9633
00000000:8D:00.0, 63.57, 0, 9661
00000000:92:00.0, 75.97, 69, 9633
00000000:D6:00.0, 71.02, 4, 17853
00000000:DA:00.0, 198.73, 16, 9633
00000000:0F:00.0, 73.22, 0, 17869
00000000:15:00.0, 57.02, 0, 9661
00000000:51:00.0, 72.42, 0, 9633
00000000:54:00.0, 75.79, 0, 9633
00000000:8D:00.0, 71.27, 0, 17853
00000000:92:00.0, 59.54, 0, 9633
00000000:D6:00.0, 64.04, 0, 17853
00000000:DA:00.0, 79.98, 0, 9633
00000000:0F:00.0, 60.02, 0, 17869
00000000:15:00.0, 57.02, 0, 9661
00000000:51:00.0, 72.42, 0, 9633
00000000:54:00.0, 75.79, 0, 9633
00000000:8D:00.0, 67.12, 0, 17853
00000000:92:00.0, 85.11, 100, 9633
00000000:D6:00.0, 71.02, 0, 17853
00000000:DA:00.0, 62.10, 0, 9643
00000000:0F:00.0, 94.82, 5, 17869
00000000:15:00.0, 57.02, 21, 9661
00000000:51:00.0, 71.82, 0, 9633
00000000:54:00.0, 204.92, 100, 9633
00000000:8D:00.0, 59.21, 0, 17853
00000000:92:00.0, 74.77, 0, 9661
00000000:D6:00.0, 71.02, 0, 17853
00000000:DA:00.0, 74.94, 0, 9661
00000000:0F:00.0, 73.22, 2, 17869
00000000:15:00.0, 62.84, 0, 17853
00000000:51:00.0, 72.42, 0, 9661
00000000:54:00.0, 76.05, 0, 9633
00000000:8D:00.0, 73.89, 0, 17853
00000000:92:00.0, 68.60, 0, 9661
00000000:D6:00.0, 71.02, 0, 17853
00000000:DA:00.0, 60.56, 0, 9661
00000000:0F:00.0, 73.54, 17, 17869
00000000:15:00.0, 74.54, 5, 17853
00000000:51:00.0, 66.85, 9, 9661
00000000:54:00.0, 76.05, 3, 9661
00000000:8D:00.0, 73.29, 1, 17853
00000000:92:00.0, 71.54, 9, 9661
00000000:D6:00.0, 71.35, 19, 17853
00000000:DA:00.0, 61.82, 0, 17853
00000000:0F:00.0, 68.53, 0, 17869
00000000:15:00.0, 72.52, 0, 17853
00000000:51:00.0, 65.04, 0, 9661
00000000:54:00.0, 60.21, 0, 17853
00000000:8D:00.0, 58.67, 39, 17853
00000000:92:00.0, 75.97, 0, 17853
00000000:D6:00.0, 71.35, 13, 17853
00000000:DA:00.0, 64.44, 0, 17853
00000000:0F:00.0, 69.65, 0, 17869
00000000:15:00.0, 72.44, 34, 17853
00000000:51:00.0, 72.75, 0, 17853
00000000:54:00.0, 77.52, 34, 17853
00000000:8D:00.0, 79.38, 0, 17853
00000000:92:00.0, 75.09, 0, 17853
00000000:D6:00.0, 196.52, 0, 17853
00000000:DA:00.0, 83.98, 95, 17853
00000000:0F:00.0, 73.54, 0, 17869
00000000:15:00.0, 73.93, 0, 17853
00000000:51:00.0, 107.35, 31, 17853
00000000:54:00.0, 200.55, 68, 17853
00000000:8D:00.0, 96.66, 0, 17853
00000000:92:00.0, 75.09, 6, 17853
00000000:D6:00.0, 109.48, 0, 17853
00000000:DA:00.0, 80.76, 46, 17853
00000000:0F:00.0, 67.66, 12, 17869
00000000:15:00.0, 62.57, 11, 17853
00000000:51:00.0, 190.16, 0, 17853
00000000:54:00.0, 76.59, 42, 17853
00000000:8D:00.0, 73.89, 0, 17853
00000000:92:00.0, 75.64, 46, 17853
00000000:D6:00.0, 71.35, 3, 17853
00000000:DA:00.0, 80.58, 27, 17853
00000000:0F:00.0, 189.36, 17, 17869
00000000:15:00.0, 194.85, 54, 17853
00000000:51:00.0, 73.62, 3, 17853
00000000:54:00.0, 76.92, 14, 17853
00000000:8D:00.0, 74.77, 1, 17853
00000000:92:00.0, 96.76, 15, 17853
00000000:D6:00.0, 61.08, 5, 17853
00000000:DA:00.0, 107.13, 24, 17853
00000000:0F:00.0, 61.22, 16, 17869
00000000:15:00.0, 59.36, 1, 17853
00000000:51:00.0, 73.29, 41, 17853
00000000:54:00.0, 212.57, 10, 17853
00000000:8D:00.0, 58.88, 4, 17853
00000000:92:00.0, 185.20, 68, 17853
00000000:D6:00.0, 205.03, 10, 17853
00000000:DA:00.0, 108.87, 12, 17853
00000000:0F:00.0, 62.69, 3, 17921
00000000:15:00.0, 139.89, 6, 17853
00000000:51:00.0, 109.25, 60, 17853
00000000:54:00.0, 94.51, 2, 17853
00000000:8D:00.0, 65.98, 14, 17853
00000000:92:00.0, 75.97, 61, 17853
00000000:D6:00.0, 72.82, 17, 17853
00000000:DA:00.0, 82.92, 11, 17853
00000000:0F:00.0, 61.82, 15, 17921
00000000:15:00.0, 60.22, 9, 17853
00000000:51:00.0, 74.09, 58, 17853
00000000:54:00.0, 183.50, 4, 17853
00000000:8D:00.0, 74.16, 2, 17853
00000000:92:00.0, 75.64, 12, 17853
00000000:D6:00.0, 61.08, 15, 17853
00000000:DA:00.0, 115.30, 32, 17853
00000000:0F:00.0, 143.39, 32, 17921
00000000:15:00.0, 57.29, 10, 17853
00000000:51:00.0, 73.02, 33, 17853
00000000:54:00.0, 204.05, 54, 17853
00000000:8D:00.0, 74.16, 13, 17853
00000000:92:00.0, 188.69, 11, 17853
00000000:D6:00.0, 57.53, 34, 17853
00000000:DA:00.0, 80.58, 6, 17853
00000000:0F:00.0, 58.01, 7, 17921
00000000:15:00.0, 58.16, 0, 17853
00000000:51:00.0, 72.75, 0, 17853
00000000:54:00.0, 62.83, 0, 17853
00000000:8D:00.0, 74.16, 2, 17853
00000000:92:00.0, 75.97, 0, 17853
00000000:D6:00.0, 71.35, 0, 17865
00000000:DA:00.0, 77.82, 0, 17853
00000000:0F:00.0, 73.22, 0, 17921
00000000:15:00.0, 59.36, 0, 17857
00000000:51:00.0, 71.27, 0, 17853
00000000:54:00.0, 76.05, 0, 17853
00000000:8D:00.0, 58.67, 0, 17853
00000000:92:00.0, 71.54, 0, 17853
00000000:D6:00.0, 62.23, 0, 17905
00000000:DA:00.0, 80.17, 0, 17853
00000000:0F:00.0, 72.67, 28, 17921
00000000:15:00.0, 57.02, 0, 17905
00000000:51:00.0, 72.75, 0, 17853
00000000:54:00.0, 76.40, 0, 17853
00000000:8D:00.0, 65.98, 0, 17905
00000000:92:00.0, 76.24, 0, 17853
00000000:D6:00.0, 69.00, 0, 17905
00000000:DA:00.0, 80.25, 0, 17863
00000000:0F:00.0, 72.95, 0, 17921
00000000:15:00.0, 57.02, 0, 17905
00000000:51:00.0, 64.78, 0, 17905
00000000:54:00.0, 63.16, 0, 17853
00000000:8D:00.0, 70.40, 0, 17905
00000000:92:00.0, 67.52, 0, 17891
00000000:D6:00.0, 71.09, 0, 17905
00000000:DA:00.0, 63.84, 0, 17905
00000000:0F:00.0, 158.37, 9, 17921
00000000:15:00.0, 66.31, 31, 17905
00000000:51:00.0, 65.11, 20, 17905
00000000:54:00.0, 123.03, 17, 17905
00000000:8D:00.0, 173.75, 32, 17905
00000000:92:00.0, 115.86, 9, 17905
00000000:D6:00.0, 73.37, 9, 17905
00000000:DA:00.0, 63.51, 25, 17905
00000000:0F:00.0, 119.83, 46, 17921
00000000:15:00.0, 57.29, 11, 17905
00000000:51:00.0, 76.43, 47, 17905
00000000:54:00.0, 140.95, 28, 17905
00000000:8D:00.0, 141.53, 4, 17905
00000000:92:00.0, 117.88, 37, 17905
00000000:D6:00.0, 103.91, 30, 17905
00000000:DA:00.0, 189.49, 34, 17905
00000000:0F:00.0, 58.16, 0, 17921
00000000:15:00.0, 207.56, 100, 17905
