power.draw [W], utilization.gpu [%]
55.06 W, 0 %
58.28 W, 4 %
61.22 W, 0 %
58.01 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
57.68 W, 0 %
62.10 W, 5 %
62.10 W, 0 %
258.20 W, 5 %
220.68 W, 100 %
197.26 W, 100 %
197.26 W, 100 %
187.89 W, 100 %
197.59 W, 100 %
208.64 W, 100 %
220.41 W, 100 %
73.22 W, 0 %
246.76 W, 54 %
220.41 W, 99 %
361.25 W, 100 %
211.31 W, 100 %
278.95 W, 99 %
181.05 W, 99 %
182.53 W, 100 %
216.59 W, 100 %
137.98 W, 100 %
223.35 W, 100 %
268.11 W, 100 %
281.30 W, 100 %
249.38 W, 99 %
260.22 W, 72 %
275.42 W, 100 %
278.37 W, 100 %
230.61 W, 100 %
199.81 W, 100 %
268.99 W, 75 %
219.49 W, 100 %
281.62 W, 100 %
229.77 W, 100 %
253.19 W, 100 %
75.89 W, 0 %
247.04 W, 100 %
229.74 W, 100 %
73.82 W, 0 %
265.23 W, 100 %
201.94 W, 100 %
267.24 W, 100 %
79.71 W, 100 %
271.33 W, 100 %
280.42 W, 100 %
74.69 W, 0 %
58.67 W, 0 %
58.67 W, 4 %
65.11 W, 0 %
61.88 W, 27 %
74.42 W, 0 %
